url,used
https://www.transfermarkt.com/mike-maignan/profil/spieler/182906,FALSE
https://www.transfermarkt.com/conor-bradley/profil/spieler/624258,FALSE
https://www.transfermarkt.com/cristian-romero/profil/spieler/355915,FALSE
https://www.transfermarkt.com/gabriel-sara/profil/spieler/553469,FALSE
https://www.transfermarkt.com/curtis-jones/profil/spieler/433188,FALSE
https://www.transfermarkt.com/dan-ndoye/profil/spieler/365108,FALSE
https://www.transfermarkt.com/toti/profil/spieler/606718,FALSE
https://www.transfermarkt.com/dani-olmo/profil/spieler/293385,FALSE
https://www.transfermarkt.com/dani-vivian/profil/spieler/524000,FALSE
https://www.transfermarkt.com/ritsu-doan/profil/spieler/358504,FALSE
https://www.transfermarkt.com/ayyoub-bouaddi/profil/spieler/1097139,FALSE
https://www.transfermarkt.com/darwin-nunez/profil/spieler/546543,FALSE
https://www.transfermarkt.com/orkun-kokcu/profil/spieler/454567,FALSE
https://www.transfermarkt.com/moussa-diaby/profil/spieler/395516,FALSE
https://www.transfermarkt.com/david-raya/profil/spieler/262749,FALSE
https://www.transfermarkt.com/davide-frattesi/profil/spieler/394300,FALSE
https://www.transfermarkt.com/dayot-upamecano/profil/spieler/344695,FALSE
https://www.transfermarkt.com/dean-huijsen/profil/spieler/890290,FALSE
https://www.transfermarkt.com/declan-rice/profil/spieler/357662,FALSE
https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755,FALSE
https://www.transfermarkt.com/eliesse-ben-seghir/profil/spieler/810895,FALSE
https://www.transfermarkt.com/denzel-dumfries/profil/spieler/321528,FALSE
https://www.transfermarkt.com/desire-doue/profil/spieler/914562,FALSE
https://www.transfermarkt.com/destiny-udogie/profil/spieler/556385,FALSE
https://www.transfermarkt.com/matty-cash/profil/spieler/425334,FALSE
https://www.transfermarkt.com/diogo-costa/profil/spieler/357153,FALSE
https://www.transfermarkt.com/hakan-calhanoglu/profil/spieler/126414,FALSE
https://www.transfermarkt.com/kerem-akturkoglu/profil/spieler/382528,FALSE
https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889,FALSE
https://www.transfermarkt.com/dominik-szoboszlai/profil/spieler/451276,FALSE
https://www.transfermarkt.com/andre-onana/profil/spieler/234509,FALSE
https://www.transfermarkt.com/quinten-timber/profil/spieler/420213,FALSE
https://www.transfermarkt.com/dusan-vlahovic/profil/spieler/357498,FALSE
https://www.transfermarkt.com/wilfried-singo/profil/spieler/648779,FALSE
https://www.transfermarkt.com/eberechi-eze/profil/spieler/479999,FALSE
https://www.transfermarkt.com/pedro-goncalves/profil/spieler/426620,FALSE
https://www.transfermarkt.com/ederson/profil/spieler/607854,FALSE
https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545,FALSE
https://www.transfermarkt.com/maxence-lacroix/profil/spieler/434224,FALSE
https://www.transfermarkt.com/ferdi-kadioglu/profil/spieler/369316,FALSE
https://www.transfermarkt.com/yves-bissouma/profil/spieler/410425,FALSE
https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428,FALSE
https://www.transfermarkt.com/pierre-kalulu/profil/spieler/585949,FALSE
https://www.transfermarkt.com/elliot-anderson/profil/spieler/567576,FALSE
https://www.transfermarkt.com/wilfried-gnonto/profil/spieler/627626,FALSE
https://www.transfermarkt.com/maximilian-beier/profil/spieler/578392,FALSE
